trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 0.95}",25,13,-68.7367719,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
2,FALSE,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-223.2599802,"{0: 7, 1: 4, 2: 5, 3: 0, 4: 4}",0
3,FALSE,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-99.93453482,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
4,FALSE,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-136.7171396,"{0: 9, 1: 6, 2: 2, 3: 1, 4: 2}",0
5,FALSE,"{'a': 0.5, 'e': 0.7499999999999998}",25,1,-86.0592813,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 0}",1
6,FALSE,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-225.8035751,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
7,FALSE,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-47.57385092,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
8,FALSE,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-37.17595952,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
9,FALSE,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-112.7782999,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,FALSE,"{'a': 0.5, 'e': 0.4999999999999996}",30,2,-33.77705973,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 1}",1
11,FALSE,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-186.6652223,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
12,FALSE,"{'a': 0.5, 'e': 0.39999999999999963}",20,1,-66.68026182,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
13,FALSE,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-13.54111451,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
14,FALSE,"{'a': 0.5, 'e': 0.29999999999999966}",25,11,-4.595850935,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,FALSE,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-94.63902939,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
16,FALSE,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-143.4233586,"{0: 25, 1: 1, 2: 5, 3: 2, 4: 2}",0
17,FALSE,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-19.67435949,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
18,FALSE,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-111.3061819,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
19,FALSE,"{'a': 0.5, 'e': 0.049999999999999684}",20,8,11.14134024,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
20,FALSE,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,8,-35.93484048,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
1,TRUE,"{'a': 0.5, 'e': -0.05000000000000032}",25,13,5.297888483,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,TRUE,"{'a': 0.5, 'e': -0.10000000000000032}",20,9,6.968619356,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,TRUE,"{'a': 0.5, 'e': -0.15000000000000033}",25,11,10.36451686,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,TRUE,"{'a': 0.5, 'e': -0.20000000000000034}",30,13,-55.0396175,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
5,TRUE,"{'a': 0.5, 'e': -0.25000000000000033}",25,13,-33.06567398,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,TRUE,"{'a': 0.5, 'e': -0.3000000000000003}",25,17,-26.06119843,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,TRUE,"{'a': 0.5, 'e': -0.3500000000000003}",35,0,2.089988266,"{0: 32, 1: 1, 2: 1, 3: 1, 4: 0}",0
8,TRUE,"{'a': 0.5, 'e': -0.4000000000000003}",20,0,21.94358777,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,TRUE,"{'a': 0.5, 'e': -0.4500000000000003}",20,0,-99.96726462,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
10,TRUE,"{'a': 0.5, 'e': -0.5000000000000003}",30,14,6.43973609,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
