trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.999000499833375}",30,0,-288.16329010390865,"{0: 12, 1: 4, 2: 8, 3: 2, 4: 4}",0
2,False,"{'a': 0.01, 'e': 0.9980019986673331}",20,0,-96.3688023426678,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.997004495503373}",25,0,-217.62778461917523,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9960079893439915}",25,0,-175.86721626172744,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.9950124791926823}",25,0,-95.89153111318355,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9940179640539353}",30,0,-300.78429513015385,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 5}",0
7,False,"{'a': 0.01, 'e': 0.9930244429332351}",20,0,-169.88333865952433,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
8,False,"{'a': 0.01, 'e': 0.9920319148370607}",25,0,-160.90110268046507,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9910403787728836}",30,0,-156.18561826799277,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-120.92349373419685,"{0: 11, 1: 5, 2: 7, 3: 2, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9890602787753687}",30,0,-137.67310715603088,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9880717128619305}",20,0,-188.46556612862264,"{0: 7, 1: 3, 2: 6, 3: 2, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9870841350202876}",30,0,-121.70713557312847,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9860975442628619}",30,0,-179.41171007777606,"{0: 15, 1: 2, 2: 10, 3: 2, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9851119396030626}",30,0,-201.53429157668938,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.9841273200552851}",25,0,-116.68119597717278,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9831436846349096}",25,0,-74.59796766116699,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9821610323583008}",20,0,-94.77275803076803,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
