trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-115.84492463755049,"{0: 18, 1: 6, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.99490959314622,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.14991792611511,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.48816024435337,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.11261873261716,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.54312156310611,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.97155723070242,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,13,-1.9418897304007934,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.86258184838815,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,2,-146.10369130387556,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.69707000491672,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 0}",0
